traveller_id,origin_city,traveller_type,adults,children,seniors,total_party_size,pace,total_budget,budget_level,hotel_comfort,mobility_need,dietary_preference,preferred_transport,travel_month,nights,archetype,food_preference,culture_preference,nature_preference,beach_preference,wellness_preference,adventure_preference,nightlife_preference,shopping_preference,history_preference,photography_preference,wildlife_preference,spirituality_preference,split
T000024,Indore,family,4,1,0,5,balanced,34207,low,luxury,no_restriction,no_preference,balanced,March,1,nightlife_traveller,92,71,53,61,28,43,79,73,29,80,42,9,train
T000025,Indore,family,4,4,0,8,packed,46425,low,premium,no_restriction,no_preference,lowest_cost,October,2,culture_traveller,72,76,49,63,66,25,0,63,73,83,39,85,train
T000026,Pune,family,4,1,0,5,packed,40080,medium,luxury,no_restriction,no_preference,lowest_cost,December,1,nightlife_traveller,62,76,87,52,33,53,79,80,5,63,63,0,train
T000027,Chennai,seniors,0,0,3,3,easy_going,20947,low,standard,reduced_walking,vegetarian,balanced,October,3,senior_traveller,73,86,84,46,59,35,15,36,56,46,52,56,train
T000028,Indore,couple,2,0,0,2,balanced,26300,low,luxury,no_restriction,no_preference,lowest_cost,January,2,food_traveller,85,85,61,54,66,28,72,77,51,51,30,74,train
T000029,Ahmedabad,family,5,2,0,7,balanced,71045,low,standard,no_restriction,non_vegetarian,public_transport,February,6,family_traveller,38,6,69,20,30,39,41,0,11,86,0,50,train
T000030,Kochi,family,3,1,0,4,balanced,80846,high,premium,reduced_walking,vegetarian,lowest_cost,December,3,beach_traveller,62,20,86,80,60,58,66,66,0,64,69,35,train
T000031,Indore,family,5,4,0,9,balanced,190046,medium,luxury,no_restriction,no_preference,lowest_cost,November,4,adventure_traveller,62,71,87,87,64,84,35,21,50,71,77,42,validation
T000032,Kolkata,solo,1,0,0,1,easy_going,28844,medium,standard,no_restriction,non_vegetarian,fastest,October,4,beach_traveller,67,20,83,82,54,44,55,48,3,86,61,0,train
T000033,Jaipur,family,4,2,0,6,packed,55993,medium,budget,no_restriction,vegan,private_transport,April,3,wellness_traveller,79,52,40,9,88,39,68,14,96,17,19,85,train
T000034,Ahmedabad,friends,8,0,0,8,balanced,93775,medium,standard,no_restriction,vegetarian,private_transport,July,5,beach_traveller,47,8,79,93,79,52,79,57,42,81,58,24,train
T000035,Kochi,solo,1,0,0,1,easy_going,36411,high,standard,no_restriction,vegetarian,balanced,February,3,food_traveller,66,87,45,39,56,21,48,88,40,52,12,56,train
T000036,Indore,seniors,0,0,1,1,balanced,50573,high,standard,no_restriction,no_preference,public_transport,November,7,balanced_traveller,13,30,55,9,84,61,54,16,25,16,85,58,train
T000037,Pune,friends,7,0,0,7,packed,43118,low,premium,no_restriction,vegetarian,balanced,September,3,food_traveller,75,85,63,49,68,35,74,86,73,34,15,46,train
T000038,Nagpur,seniors,1,0,1,2,packed,118644,high,premium,no_restriction,no_preference,private_transport,January,6,food_traveller,72,81,68,67,59,31,62,91,60,52,24,21,train
T000039,Kolkata,friends,5,0,0,5,packed,49408,medium,standard,no_restriction,vegetarian,balanced,July,4,family_traveller,83,73,81,56,40,53,48,68,57,53,55,59,train
T000040,Kochi,family,4,4,1,9,balanced,101613,medium,standard,no_restriction,no_preference,fastest,January,4,senior_traveller,86,79,78,67,74,43,37,55,61,66,58,58,train
T000041,Nagpur,family,3,1,0,4,packed,21728,low,standard,no_restriction,vegetarian,fastest,April,2,family_traveller,68,73,73,57,53,52,64,61,60,61,64,31,test
T000042,Nagpur,friends,8,0,0,8,balanced,75359,low,premium,no_restriction,vegetarian,balanced,November,4,nightlife_traveller,88,65,45,68,65,58,75,75,13,63,45,25,train
T000043,Bengaluru,couple,2,0,0,2,easy_going,36133,high,standard,no_restriction,non_vegetarian,private_transport,January,3,food_traveller,91,76,56,44,62,38,56,80,43,54,0,46,train
T000044,Kolkata,friends,4,0,0,4,balanced,29659,medium,standard,no_restriction,no_preference,public_transport,December,2,beach_traveller,64,16,77,82,66,59,49,71,40,85,68,36,train
T000045,Jaipur,friends,7,0,0,7,packed,30662,low,budget,no_restriction,non_vegetarian,public_transport,September,2,culture_traveller,58,82,70,52,61,7,25,57,76,80,54,79,train
T000046,Delhi,friends,6,0,0,6,packed,109623,high,budget,no_restriction,no_preference,fastest,December,7,family_traveller,82,95,63,32,50,57,65,62,52,69,69,59,train
T000047,Pune,couple,2,0,0,2,packed,10613,low,standard,no_restriction,no_preference,balanced,October,2,nightlife_traveller,69,45,46,86,78,52,79,72,0,55,45,18,train
T000048,Delhi,couple,2,0,0,2,easy_going,13384,low,standard,no_restriction,no_preference,private_transport,March,2,senior_traveller,86,80,94,69,53,29,45,80,42,45,74,44,train
T000049,Kochi,couple,2,0,0,2,easy_going,13892,medium,standard,no_restriction,non_vegetarian,balanced,February,1,nightlife_traveller,80,48,25,40,35,30,72,92,19,72,61,30,test
T000050,Hyderabad,seniors,2,0,4,6,balanced,41178,medium,standard,no_restriction,vegetarian,balanced,November,2,senior_traveller,82,86,86,75,72,6,41,50,69,57,52,35,validation
T000051,Indore,couple,2,0,0,2,balanced,83113,medium,luxury,no_restriction,no_preference,lowest_cost,October,3,beach_traveller,68,21,88,78,56,55,46,64,28,86,75,38,train
T000052,Chennai,family,4,1,1,6,packed,31873,medium,standard,no_restriction,non_vegetarian,balanced,October,1,adventure_traveller,81,66,83,78,52,64,60,30,38,76,43,7,train
T000053,Chennai,couple,2,0,0,2,balanced,10142,low,budget,no_restriction,vegetarian,lowest_cost,February,1,culture_traveller,79,83,28,30,87,2,52,46,69,16,66,37,test
T000054,Pune,couple,2,0,0,2,balanced,139316,low,luxury,reduced_walking,non_vegetarian,lowest_cost,January,9,family_traveller,85,87,100,54,47,62,62,50,44,84,60,48,train
T000055,Indore,seniors,1,0,4,5,packed,65566,medium,budget,no_restriction,vegetarian,balanced,December,6,senior_traveller,89,68,88,52,61,5,37,71,68,38,66,61,train
T000056,Kochi,couple,2,0,0,2,packed,59838,medium,luxury,no_restriction,no_preference,lowest_cost,January,2,adventure_traveller,71,43,84,74,48,93,50,26,34,96,64,17,train
T000057,Nagpur,family,4,3,0,7,balanced,51476,medium,standard,no_restriction,vegan,lowest_cost,February,2,nightlife_traveller,92,73,46,83,68,68,82,80,17,61,73,22,train
T000058,Chennai,family,5,4,0,9,packed,116966,medium,standard,no_restriction,non_vegetarian,balanced,March,4,culture_traveller,61,70,74,55,60,50,39,53,77,79,63,81,validation
T000059,Bengaluru,couple,2,0,0,2,packed,19218,low,budget,no_restriction,no_preference,balanced,November,5,culture_traveller,57,71,40,39,35,21,34,56,63,80,55,98,train
T000060,Pune,family,5,4,0,9,balanced,70122,medium,standard,no_restriction,jain,fastest,February,3,family_traveller,77,73,79,43,60,43,65,42,50,49,72,60,train
T000061,Kolkata,couple,2,0,0,2,balanced,36854,high,standard,no_restriction,vegetarian,balanced,January,2,food_traveller,76,92,53,33,41,0,54,80,51,69,35,54,train
T000062,Kochi,seniors,2,0,4,6,balanced,58220,medium,budget,no_restriction,non_vegetarian,fastest,December,3,adventure_traveller,55,73,80,67,47,86,61,0,48,77,52,2,train
T000063,Pune,couple,2,0,0,2,easy_going,6843,low,budget,no_restriction,non_vegetarian,lowest_cost,November,1,adventure_traveller,58,65,69,82,54,84,56,1,41,82,69,0,validation
T000064,Hyderabad,couple,2,0,0,2,easy_going,20810,low,standard,no_restriction,non_vegetarian,private_transport,November,4,culture_traveller,54,76,61,62,60,23,40,44,81,91,72,70,test
T000065,Kolkata,solo,1,0,0,1,easy_going,61247,medium,premium,no_restriction,vegetarian,public_transport,November,6,balanced_traveller,91,35,60,47,63,57,66,71,59,70,28,76,train
T000066,Mumbai,friends,3,0,0,3,balanced,106028,medium,standard,no_restriction,non_vegetarian,private_transport,December,11,wellness_traveller,86,28,87,39,82,18,35,54,48,50,72,63,train
T000067,Indore,family,4,1,1,6,balanced,70094,medium,standard,no_restriction,no_preference,fastest,December,3,senior_traveller,76,81,69,58,62,17,0,68,61,48,53,38,train
T000068,Mumbai,solo,1,0,0,1,balanced,7365,medium,standard,no_restriction,vegetarian,lowest_cost,December,1,family_traveller,70,77,72,61,51,85,36,59,43,51,58,29,test
T000069,Kochi,seniors,0,0,4,4,balanced,54943,high,standard,no_restriction,no_preference,fastest,July,3,adventure_traveller,40,69,70,76,80,91,58,7,50,82,57,18,train
T000070,Delhi,solo,1,0,0,1,balanced,9967,low,standard,no_restriction,vegetarian,lowest_cost,November,2,food_traveller,71,87,47,50,60,13,67,75,49,49,12,70,train
T000071,Nagpur,couple,2,0,0,2,easy_going,39586,medium,standard,no_restriction,non_vegetarian,balanced,July,6,beach_traveller,45,56,78,82,41,77,70,60,2,83,43,39,train
T000072,Chennai,couple,2,0,0,2,packed,7084,low,budget,no_restriction,vegetarian,public_transport,December,1,beach_traveller,43,76,73,3,56,15,94,16,62,32,64,41,test
T000073,Kochi,couple,2,0,0,2,packed,38690,medium,premium,no_restriction,no_preference,balanced,October,3,wellness_traveller,89,62,79,31,88,35,28,46,65,67,75,46,train
T000074,Hyderabad,friends,7,0,0,7,easy_going,41452,low,standard,no_restriction,no_preference,balanced,June,2,adventure_traveller,67,39,71,65,57,73,52,28,49,83,53,28,validation
T000075,Mumbai,friends,3,0,0,3,easy_going,46815,high,standard,no_restriction,no_preference,fastest,November,2,food_traveller,79,83,67,50,49,4,44,67,65,78,38,37,train
T000076,Pune,friends,3,0,0,3,packed,28036,low,budget,no_restriction,non_vegetarian,private_transport,December,4,culture_traveller,31,79,50,38,62,14,6,50,90,86,55,86,train
T000077,Bengaluru,family,5,3,0,8,packed,85884,high,premium,no_restriction,non_vegetarian,fastest,February,2,food_traveller,73,90,33,70,56,4,50,73,67,65,0,52,train
T000078,Indore,family,5,3,0,8,easy_going,58113,low,premium,no_restriction,no_preference,lowest_cost,November,4,family_traveller,74,75,98,57,59,35,49,59,44,67,42,53,train
T000079,Nagpur,couple,2,0,0,2,balanced,25268,low,standard,no_restriction,no_preference,fastest,November,4,culture_traveller,53,82,77,40,66,0,22,75,85,83,50,82,test
T000080,Bengaluru,friends,3,0,0,3,balanced,27116,medium,standard,no_restriction,vegetarian,lowest_cost,December,3,adventure_traveller,55,50,99,78,49,85,60,1,70,81,43,35,validation
T000081,Mumbai,couple,2,0,0,2,easy_going,31458,medium,standard,no_restriction,vegetarian,lowest_cost,November,4,balanced_traveller,47,58,56,40,39,63,25,59,51,72,51,64,train
T000082,Chennai,friends,5,0,0,5,balanced,35388,low,premium,no_restriction,no_preference,lowest_cost,September,2,adventure_traveller,64,62,82,73,66,72,70,57,61,86,51,0,train
T000083,Jaipur,solo,1,0,0,1,easy_going,77050,high,premium,no_restriction,non_vegetarian,balanced,March,4,balanced_traveller,52,40,33,53,57,41,56,57,31,46,61,61,train
T000084,Kolkata,friends,6,0,0,6,packed,71306,medium,budget,no_restriction,no_preference,lowest_cost,February,4,culture_traveller,66,88,47,35,75,23,0,48,88,79,50,93,train
T000085,Chennai,couple,2,0,0,2,packed,79287,medium,luxury,no_restriction,no_preference,balanced,February,4,senior_traveller,86,82,75,57,56,22,48,50,62,69,58,85,train
T000086,Jaipur,seniors,0,0,4,4,balanced,59870,high,standard,no_restriction,no_preference,private_transport,December,4,family_traveller,59,81,6,51,25,66,11,93,89,18,32,58,train
T000087,Chennai,solo,1,0,0,1,balanced,10349,medium,budget,no_restriction,vegan,private_transport,January,2,balanced_traveller,49,46,44,53,42,61,57,62,63,64,52,82,train
T000088,Indore,couple,2,0,0,2,balanced,95933,low,luxury,no_restriction,no_preference,fastest,December,6,beach_traveller,57,22,67,80,57,54,47,50,17,82,64,34,validation
T000089,Nagpur,solo,1,0,0,1,balanced,16896,high,budget,no_restriction,vegan,lowest_cost,January,3,family_traveller,76,70,82,47,58,47,43,59,58,63,83,60,validation
T000090,Kolkata,couple,2,0,0,2,balanced,17157,medium,standard,no_restriction,no_preference,balanced,December,2,balanced_traveller,40,68,62,49,38,48,56,70,44,55,65,28,train
T000091,Kochi,couple,2,0,0,2,balanced,47758,high,standard,no_restriction,non_vegetarian,lowest_cost,May,4,adventure_traveller,54,34,78,85,43,87,67,21,20,71,79,12,train
T000092,Ahmedabad,family,4,1,0,5,packed,131728,high,standard,no_restriction,non_vegetarian,lowest_cost,January,6,family_traveller,78,91,89,87,47,50,53,51,46,23,51,61,train
T000093,Delhi,family,5,4,0,9,easy_going,111337,medium,budget,no_restriction,non_vegetarian,lowest_cost,November,5,family_traveller,85,92,91,57,28,63,30,74,59,68,46,38,train
T000094,Chennai,couple,2,0,0,2,easy_going,53110,low,standard,no_restriction,vegetarian,private_transport,September,12,beach_traveller,45,17,76,94,65,64,64,56,22,72,30,21,test
T000095,Mumbai,family,3,1,0,4,balanced,22187,low,luxury,no_restriction,vegetarian,fastest,November,1,family_traveller,81,94,79,27,63,48,57,55,53,66,38,50,train
T000096,Hyderabad,family,3,2,0,5,easy_going,46437,medium,standard,no_restriction,vegan,public_transport,October,2,family_traveller,76,86,78,68,60,48,46,37,60,52,28,50,train
T000097,Bengaluru,friends,6,0,0,6,packed,51211,medium,budget,no_restriction,non_vegetarian,fastest,December,3,wellness_traveller,78,58,91,82,77,19,43,38,69,44,58,54,train
T000098,Mumbai,couple,2,0,0,2,easy_going,9287,low,budget,no_restriction,non_vegetarian,lowest_cost,February,2,senior_traveller,78,78,88,66,50,14,27,47,52,58,68,49,train
T000099,Pune,family,5,2,0,7,balanced,56706,low,standard,no_restriction,no_preference,lowest_cost,April,5,food_traveller,86,74,57,32,59,29,53,96,46,59,19,55,train
T000100,Ahmedabad,couple,2,0,0,2,balanced,36503,high,standard,no_restriction,vegetarian,private_transport,January,2,wellness_traveller,81,30,77,71,86,23,33,62,71,68,75,61,validation
T000101,Hyderabad,family,2,3,0,5,balanced,55294,medium,budget,no_restriction,non_vegetarian,lowest_cost,December,4,beach_traveller,54,0,97,87,56,52,69,50,34,86,59,21,train
T000102,Jaipur,family,3,3,1,7,packed,70570,medium,premium,wheelchair_friendly_preference,no_preference,private_transport,October,3,family_traveller,68,85,68,55,51,31,61,52,31,67,74,74,train
T000103,Mumbai,couple,2,0,0,2,packed,87428,medium,standard,no_restriction,vegan,public_transport,December,10,food_traveller,49,88,63,52,42,46,20,82,19,71,75,57,train
T000104,Chennai,friends,6,0,0,6,balanced,66229,medium,standard,no_restriction,no_preference,fastest,October,3,culture_traveller,60,66,69,50,73,18,22,71,74,74,54,88,train
T000105,Indore,friends,5,0,0,5,packed,44794,medium,premium,no_restriction,non_vegetarian,lowest_cost,December,2,adventure_traveller,75,59,77,80,73,93,47,19,58,74,56,20,train
T000106,Chennai,friends,5,0,0,5,balanced,25638,low,standard,no_restriction,no_preference,fastest,November,2,nightlife_traveller,80,76,50,60,85,44,66,92,9,56,49,23,train
T000107,Indore,friends,4,0,0,4,balanced,32531,high,premium,no_restriction,no_preference,balanced,February,1,beach_traveller,65,38,78,85,54,61,75,63,0,85,71,17,test
T000108,Bengaluru,friends,3,0,0,3,packed,24375,medium,budget,no_restriction,non_vegetarian,lowest_cost,March,3,family_traveller,89,85,83,61,46,67,43,67,71,59,54,61,train
T000109,Jaipur,solo,1,0,0,1,packed,49295,medium,standard,no_restriction,no_preference,balanced,November,11,beach_traveller,63,35,21,69,68,53,93,38,83,7,73,98,train
T000110,Mumbai,family,4,1,0,5,balanced,29214,medium,budget,no_restriction,non_vegetarian,balanced,February,2,family_traveller,90,78,80,65,61,52,37,58,69,42,64,60,train
T000111,Chennai,family,3,3,0,6,balanced,43249,medium,standard,no_restriction,non_vegetarian,fastest,November,2,nightlife_traveller,78,88,63,51,62,44,94,76,26,69,61,21,train
T000112,Chennai,friends,3,0,0,3,easy_going,14988,medium,budget,no_restriction,vegetarian,lowest_cost,February,1,culture_traveller,63,76,53,68,67,7,8,58,95,66,60,70,train
T000113,Kolkata,family,3,1,1,5,easy_going,54499,medium,luxury,no_restriction,vegetarian,private_transport,December,2,beach_traveller,55,43,97,68,86,46,68,68,7,85,55,27,validation
T000114,Nagpur,family,2,1,0,3,balanced,14589,medium,standard,no_restriction,vegetarian,private_transport,November,1,family_traveller,92,83,75,75,56,58,52,46,39,64,47,93,train
T000115,Delhi,couple,2,0,0,2,packed,24404,high,standard,no_restriction,no_preference,lowest_cost,December,2,beach_traveller,41,13,75,85,60,67,66,70,19,84,63,21,train
T000116,Delhi,family,2,1,0,3,balanced,32270,medium,budget,no_restriction,vegetarian,lowest_cost,February,5,family_traveller,70,90,77,52,57,70,57,42,63,51,79,56,train
T000117,Delhi,family,4,4,0,8,balanced,87135,low,budget,no_restriction,jain,fastest,November,7,family_traveller,84,71,79,48,67,71,69,47,24,35,74,52,test
T000118,Pune,seniors,0,0,4,4,easy_going,46024,medium,budget,wheelchair_friendly_preference,vegan,balanced,January,5,senior_traveller,79,61,64,44,63,21,22,80,41,56,60,48,train
T000119,Pune,seniors,2,0,3,5,easy_going,28477,medium,budget,no_restriction,no_preference,lowest_cost,April,2,senior_traveller,71,75,80,49,84,18,40,54,60,41,51,59,train
T000120,Nagpur,friends,8,0,0,8,packed,69566,high,premium,no_restriction,no_preference,balanced,December,1,culture_traveller,96,81,72,86,90,33,61,60,26,22,11,65,train
T000121,Ahmedabad,solo,1,0,0,1,easy_going,14427,low,premium,no_restriction,vegetarian,balanced,February,2,beach_traveller,57,29,71,75,60,55,63,42,24,90,62,21,train
T000122,Kolkata,solo,1,0,0,1,packed,37844,high,premium,no_restriction,no_preference,fastest,December,2,adventure_traveller,74,68,74,74,56,78,43,14,51,76,53,35,train
T000123,Bengaluru,friends,4,0,0,4,packed,88415,medium,budget,no_restriction,vegetarian,balanced,February,8,family_traveller,75,81,68,41,69,51,43,59,50,51,65,43,validation
T000124,Nagpur,family,2,1,0,3,easy_going,19226,low,budget,no_restriction,vegetarian,balanced,April,4,beach_traveller,69,19,82,88,58,41,47,59,35,94,66,23,train
T000125,Mumbai,seniors,2,0,3,5,easy_going,80984,high,standard,no_restriction,no_preference,public_transport,November,3,balanced_traveller,65,48,57,49,50,43,72,69,63,80,54,93,train
T000126,Jaipur,solo,1,0,0,1,packed,25299,medium,standard,no_restriction,vegetarian,fastest,November,3,nightlife_traveller,75,89,53,39,48,56,86,86,28,49,61,8,train
T000127,Nagpur,family,3,2,0,5,packed,34952,medium,budget,no_restriction,vegetarian,balanced,November,2,family_traveller,70,76,86,65,40,45,48,52,40,39,47,58,train
T000128,Nagpur,couple,2,0,0,2,balanced,37206,high,standard,no_restriction,jain,balanced,July,3,beach_traveller,62,24,90,77,57,56,65,44,33,85,41,35,validation
T000129,Jaipur,couple,2,0,0,2,easy_going,16648,high,budget,no_restriction,no_preference,fastest,November,1,balanced_traveller,64,39,51,75,44,67,51,63,70,65,67,43,train
T000130,Pune,friends,7,0,0,7,easy_going,31732,low,budget,no_restriction,vegetarian,public_transport,November,3,culture_traveller,68,79,61,49,76,8,15,58,73,84,76,78,validation
T000131,Kolkata,solo,1,0,0,1,balanced,16029,medium,budget,no_restriction,non_vegetarian,lowest_cost,December,4,adventure_traveller,47,52,95,88,50,92,48,33,40,90,52,6,train
T000132,Nagpur,solo,1,0,0,1,balanced,51706,low,luxury,no_restriction,non_vegetarian,lowest_cost,November,3,balanced_traveller,68,68,94,63,62,65,44,51,50,64,54,58,train
T000133,Kochi,family,2,2,0,4,packed,60401,high,standard,no_restriction,no_preference,lowest_cost,September,2,wellness_traveller,81,34,78,57,79,16,26,44,37,52,66,77,train
T000134,Ahmedabad,friends,7,0,0,7,balanced,68167,low,premium,no_restriction,non_vegetarian,balanced,October,3,wellness_traveller,77,50,73,58,81,0,22,45,62,41,57,53,train
T000135,Indore,friends,4,0,0,4,balanced,50897,high,standard,no_restriction,vegetarian,fastest,December,2,balanced_traveller,79,45,78,0,28,75,79,61,30,31,96,43,train
T000136,Indore,couple,2,0,0,2,packed,167700,high,standard,no_restriction,no_preference,balanced,October,14,nightlife_traveller,72,65,77,62,56,30,65,83,15,43,57,21,train
T000137,Nagpur,couple,2,0,0,2,balanced,14287,low,standard,no_restriction,no_preference,public_transport,August,2,balanced_traveller,37,73,52,58,41,63,49,58,53,80,80,57,test
T000138,Pune,solo,1,0,0,1,easy_going,53264,medium,premium,no_restriction,vegetarian,fastest,March,4,nightlife_traveller,93,46,59,45,54,66,82,70,2,40,62,46,train
T000139,Ahmedabad,family,4,2,0,6,packed,60911,medium,budget,no_restriction,no_preference,public_transport,November,3,balanced_traveller,68,72,67,69,65,60,58,54,42,45,53,59,train
T000140,Hyderabad,friends,8,0,0,8,easy_going,150615,medium,luxury,no_restriction,no_preference,lowest_cost,February,4,culture_traveller,62,86,44,63,40,11,33,61,79,85,56,82,train
T000141,Kolkata,friends,8,0,0,8,easy_going,51627,high,budget,no_restriction,vegetarian,fastest,October,1,nightlife_traveller,84,62,40,68,52,67,75,83,24,55,61,16,test
T000142,Ahmedabad,friends,6,0,0,6,balanced,56149,high,budget,no_restriction,no_preference,private_transport,January,1,adventure_traveller,81,17,5,75,35,38,24,85,29,21,30,20,train
T000143,Jaipur,family,3,1,0,4,balanced,19963,medium,budget,no_restriction,vegetarian,lowest_cost,March,1,family_traveller,81,84,98,44,59,47,50,56,73,78,62,52,test
T000144,Pune,solo,1,0,0,1,easy_going,34422,high,standard,no_restriction,no_preference,balanced,December,3,wellness_traveller,54,75,42,29,4,2,43,88,24,57,68,6,test
T000145,Jaipur,friends,8,0,0,8,packed,131595,medium,luxury,no_restriction,vegetarian,lowest_cost,December,3,family_traveller,91,76,80,54,41,53,73,59,40,38,76,55,train
T000146,Bengaluru,couple,2,0,0,2,balanced,8442,low,standard,no_restriction,no_preference,private_transport,December,1,food_traveller,84,80,79,46,57,20,61,78,60,54,0,57,validation
T000147,Pune,solo,1,0,0,1,packed,12181,high,budget,no_restriction,non_vegetarian,lowest_cost,September,2,family_traveller,76,86,83,51,44,60,42,62,88,73,65,55,train
T000148,Kolkata,couple,2,0,0,2,easy_going,21522,low,budget,no_restriction,vegetarian,balanced,November,5,nightlife_traveller,86,54,54,64,55,53,85,87,18,57,47,8,train
T000149,Indore,solo,1,0,0,1,packed,34375,medium,standard,no_restriction,vegetarian,fastest,July,5,culture_traveller,59,76,65,91,52,20,14,51,94,76,51,69,train
T000150,Chennai,solo,1,0,0,1,balanced,15306,medium,budget,no_restriction,no_preference,balanced,July,4,family_traveller,88,80,78,54,41,61,35,51,66,60,64,56,train
T000151,Delhi,seniors,1,0,1,2,packed,38453,high,premium,no_restriction,non_vegetarian,lowest_cost,December,2,food_traveller,85,67,45,73,78,4,53,82,78,51,13,75,test
T000152,Mumbai,solo,1,0,0,1,packed,29917,medium,premium,no_restriction,non_vegetarian,balanced,December,3,nightlife_traveller,84,68,25,47,58,55,85,84,16,50,54,34,train
T000153,Ahmedabad,family,3,4,0,7,balanced,27111,low,budget,no_restriction,vegetarian,balanced,January,2,food_traveller,99,80,47,74,60,27,55,79,54,40,18,60,train
T000154,Hyderabad,family,5,1,0,6,balanced,32656,medium,budget,no_restriction,no_preference,fastest,August,2,family_traveller,87,29,42,95,94,71,6,59,98,94,10,39,train
T000155,Pune,seniors,1,0,1,2,balanced,46996,low,luxury,wheelchair_friendly_preference,non_vegetarian,fastest,January,4,food_traveller,20,5,13,49,65,8,44,58,23,37,7,22,test
T000156,Jaipur,solo,1,0,0,1,easy_going,13607,low,luxury,no_restriction,vegetarian,fastest,January,1,culture_traveller,44,73,39,73,86,13,2,30,80,79,49,83,train
