poi_id,month,season,seasonal_suitability,morning_modifier,afternoon_modifier,evening_modifier,weather_risk_proxy,season_note,confidence
POI0002,October,post_monsoon,67,-10,-9,-3,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0002,November,peak_winter,96,7,4,9,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0002,December,peak_winter,81,-8,-4,7,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0003,January,peak_winter,90,-2,3,2,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0003,February,peak_winter,81,1,12,3,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0003,March,summer_shoulder,69,4,-16,-3,low,Indicative summer shoulder suitability for photography POIs.,high
POI0003,April,summer_shoulder,70,-6,-11,4,low,Indicative summer shoulder suitability for photography POIs.,high
POI0003,May,summer_shoulder,83,10,-2,1,low,Indicative summer shoulder suitability for photography POIs.,high
POI0003,June,monsoon,57,-16,-4,5,medium,Indicative monsoon suitability for photography POIs.,high
POI0003,July,monsoon,53,16,4,11,medium,Indicative monsoon suitability for photography POIs.,high
POI0003,August,monsoon,60,-7,-9,4,medium,Indicative monsoon suitability for photography POIs.,high
POI0003,September,monsoon,66,4,-2,-3,medium,Indicative monsoon suitability for photography POIs.,high
POI0003,October,post_monsoon,84,9,0,-8,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0003,November,peak_winter,89,2,7,2,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0003,December,peak_winter,95,6,1,-5,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0004,January,peak_winter,81,8,9,7,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0004,February,peak_winter,97,11,8,10,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0004,March,summer_shoulder,76,13,0,1,low,Indicative summer shoulder suitability for food POIs.,high
POI0004,April,summer_shoulder,77,-5,-2,-8,low,Indicative summer shoulder suitability for food POIs.,high
POI0004,May,summer_shoulder,76,-7,-2,0,low,Indicative summer shoulder suitability for food POIs.,high
POI0004,June,monsoon,61,-2,-11,3,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0004,July,monsoon,84,11,-2,4,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0004,August,monsoon,75,6,4,-1,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0004,September,monsoon,83,-14,3,21,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0004,October,post_monsoon,76,0,-17,9,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0004,November,peak_winter,94,-5,5,7,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0004,December,peak_winter,81,-3,-5,6,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0005,January,peak_winter,97,-8,-2,7,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0005,February,peak_winter,86,-1,-11,12,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0005,March,summer_shoulder,57,-3,-9,6,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0005,April,summer_shoulder,79,4,4,0,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0005,May,summer_shoulder,75,1,-18,20,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0005,June,monsoon,32,-11,-1,8,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0005,July,monsoon,39,-3,1,-7,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0005,August,monsoon,37,0,-9,0,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0005,September,monsoon,25,8,-7,11,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0005,October,post_monsoon,86,0,-7,2,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0005,November,peak_winter,80,-5,3,6,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0005,December,peak_winter,86,-12,-13,8,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0006,January,peak_winter,88,2,6,-5,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0006,February,peak_winter,97,-11,13,7,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0006,March,summer_shoulder,60,-7,-9,-4,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0006,April,summer_shoulder,55,7,-11,13,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0006,May,summer_shoulder,61,-8,-8,-15,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0006,June,monsoon,33,0,-6,11,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0006,July,monsoon,28,9,1,15,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0006,August,monsoon,27,0,3,-6,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0006,September,monsoon,32,-6,-18,-3,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0006,October,post_monsoon,75,0,-6,8,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0006,November,peak_winter,84,-17,10,12,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0006,December,peak_winter,92,-8,0,13,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0007,January,peak_winter,96,1,8,0,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0007,February,peak_winter,78,0,0,2,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0007,March,summer_shoulder,66,0,-4,-3,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0007,April,summer_shoulder,71,6,-12,3,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0007,May,summer_shoulder,73,2,-21,12,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0007,June,monsoon,38,-5,4,1,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0007,July,monsoon,27,15,-7,14,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0007,August,monsoon,47,0,-1,5,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0007,September,monsoon,42,-5,-12,0,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0007,October,post_monsoon,68,0,-1,10,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0007,November,peak_winter,81,-7,-5,-6,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0007,December,peak_winter,79,16,2,8,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0008,January,peak_winter,89,0,4,2,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0008,February,peak_winter,86,8,18,-2,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0008,March,summer_shoulder,85,-7,7,13,low,Indicative summer shoulder suitability for market POIs.,high
POI0008,April,summer_shoulder,67,-1,-4,-1,low,Indicative summer shoulder suitability for market POIs.,high
POI0008,May,summer_shoulder,67,-3,-7,9,low,Indicative summer shoulder suitability for market POIs.,high
POI0008,June,monsoon,65,-1,-6,5,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0008,July,monsoon,78,13,0,11,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0008,August,monsoon,64,-1,-10,10,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0008,September,monsoon,82,-11,-7,4,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0008,October,post_monsoon,71,-4,11,8,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0008,November,peak_winter,79,2,0,-2,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0008,December,peak_winter,87,0,0,-5,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0009,January,peak_winter,85,-2,3,8,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0009,February,peak_winter,86,-4,3,3,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0009,March,summer_shoulder,84,-3,3,-8,low,Indicative summer shoulder suitability for wellness POIs.,high
POI0009,April,summer_shoulder,73,0,7,-1,low,Indicative summer shoulder suitability for wellness POIs.,high
POI0009,May,summer_shoulder,80,-10,8,4,low,Indicative summer shoulder suitability for wellness POIs.,high
POI0009,June,monsoon,66,0,5,10,medium,Indicative monsoon suitability for wellness POIs.,high
POI0009,July,monsoon,63,-5,-1,0,medium,Indicative monsoon suitability for wellness POIs.,high
POI0009,August,monsoon,49,-16,-5,-6,medium,Indicative monsoon suitability for wellness POIs.,high
POI0009,September,monsoon,64,1,-12,0,medium,Indicative monsoon suitability for wellness POIs.,high
POI0009,October,post_monsoon,67,-15,-8,13,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0009,November,peak_winter,88,5,0,1,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0009,December,peak_winter,95,-7,16,3,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0010,January,peak_winter,94,11,-13,0,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0010,February,peak_winter,79,-5,0,4,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0010,March,summer_shoulder,65,3,-13,6,low,Indicative summer shoulder suitability for food POIs.,high
POI0010,April,summer_shoulder,87,4,-5,5,low,Indicative summer shoulder suitability for food POIs.,high
POI0010,May,summer_shoulder,80,0,0,7,low,Indicative summer shoulder suitability for food POIs.,high
POI0010,June,monsoon,68,4,6,12,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0010,July,monsoon,79,-9,-9,3,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0010,August,monsoon,75,2,-8,-2,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0010,September,monsoon,79,-13,-6,-6,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0010,October,post_monsoon,75,-8,-3,-5,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0010,November,peak_winter,83,5,-4,1,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0010,December,peak_winter,93,4,-5,-1,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0011,January,peak_winter,90,7,4,12,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0011,February,peak_winter,95,-15,10,8,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0011,March,summer_shoulder,82,3,-4,2,low,Indicative summer shoulder suitability for museum POIs.,high
POI0011,April,summer_shoulder,69,2,-7,11,low,Indicative summer shoulder suitability for museum POIs.,high
POI0011,May,summer_shoulder,79,-4,11,0,low,Indicative summer shoulder suitability for museum POIs.,high
POI0011,June,monsoon,74,-1,-12,7,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0011,July,monsoon,79,-1,1,0,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0011,August,monsoon,82,6,1,13,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0011,September,monsoon,74,25,3,7,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0011,October,post_monsoon,68,-7,0,16,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0011,November,peak_winter,81,11,6,-5,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0011,December,peak_winter,82,3,-9,-6,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0012,January,peak_winter,79,4,7,8,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0012,February,peak_winter,93,4,-7,4,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0012,March,summer_shoulder,83,-16,0,-1,low,Indicative summer shoulder suitability for shopping POIs.,high
POI0012,April,summer_shoulder,87,6,3,0,low,Indicative summer shoulder suitability for shopping POIs.,high
POI0012,May,summer_shoulder,67,-5,-19,5,low,Indicative summer shoulder suitability for shopping POIs.,high
POI0012,June,monsoon,61,-3,-8,20,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0012,July,monsoon,72,3,-12,12,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0012,August,monsoon,68,2,-1,-2,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0012,September,monsoon,74,7,9,8,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0012,October,post_monsoon,69,-7,2,24,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0012,November,peak_winter,97,11,-5,4,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0012,December,peak_winter,85,4,3,-1,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0013,January,peak_winter,83,7,9,17,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0013,February,peak_winter,94,14,1,2,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0013,March,summer_shoulder,73,5,-12,-3,low,Indicative summer shoulder suitability for fort POIs.,high
POI0013,April,summer_shoulder,81,3,-6,4,low,Indicative summer shoulder suitability for fort POIs.,high
POI0013,May,summer_shoulder,73,6,5,-10,low,Indicative summer shoulder suitability for fort POIs.,high
POI0013,June,monsoon,80,2,0,-7,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0013,July,monsoon,78,-6,-4,18,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0013,August,monsoon,73,16,-11,9,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0013,September,monsoon,75,3,-1,7,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0013,October,post_monsoon,77,13,8,-3,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0013,November,peak_winter,78,7,2,14,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0013,December,peak_winter,80,1,1,5,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0014,January,peak_winter,91,0,-5,-4,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0014,February,peak_winter,79,11,4,4,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0014,March,summer_shoulder,86,2,2,-1,low,Indicative summer shoulder suitability for wellness POIs.,high
POI0014,April,summer_shoulder,69,0,1,-10,low,Indicative summer shoulder suitability for wellness POIs.,high
POI0014,May,summer_shoulder,65,-3,-6,0,low,Indicative summer shoulder suitability for wellness POIs.,high
POI0014,June,monsoon,67,1,10,2,medium,Indicative monsoon suitability for wellness POIs.,high
POI0014,July,monsoon,67,15,-9,19,medium,Indicative monsoon suitability for wellness POIs.,high
POI0014,August,monsoon,61,0,9,11,medium,Indicative monsoon suitability for wellness POIs.,high
POI0014,September,monsoon,50,0,-9,5,medium,Indicative monsoon suitability for wellness POIs.,high
POI0014,October,post_monsoon,65,7,0,2,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0014,November,peak_winter,87,7,9,0,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0014,December,peak_winter,86,-5,3,17,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0015,January,peak_winter,85,-10,-2,-2,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0015,February,peak_winter,80,-2,12,-6,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0015,March,summer_shoulder,71,-5,-11,7,low,Indicative summer shoulder suitability for museum POIs.,high
POI0015,April,summer_shoulder,70,4,-1,14,low,Indicative summer shoulder suitability for museum POIs.,high
POI0015,May,summer_shoulder,81,9,-7,10,low,Indicative summer shoulder suitability for museum POIs.,high
POI0015,June,monsoon,68,-10,-4,6,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0015,July,monsoon,65,-12,-4,-3,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0015,August,monsoon,75,4,1,15,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0015,September,monsoon,61,7,5,-8,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0015,October,post_monsoon,77,4,7,2,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0015,November,peak_winter,97,7,-9,3,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0015,December,peak_winter,79,0,5,0,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0016,January,peak_winter,84,0,8,23,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0016,February,peak_winter,91,-12,2,-3,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0016,March,summer_shoulder,73,-7,-10,0,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0016,April,summer_shoulder,61,0,-2,8,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0016,May,summer_shoulder,72,-10,0,4,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0016,June,monsoon,37,9,-10,-7,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0016,July,monsoon,43,10,-3,3,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0016,August,monsoon,43,-6,9,-3,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0016,September,monsoon,30,4,-19,15,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0016,October,post_monsoon,78,4,7,9,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0016,November,peak_winter,89,-8,-1,-2,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0016,December,peak_winter,78,3,6,16,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0017,January,peak_winter,97,7,-2,1,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0017,February,peak_winter,88,3,-3,7,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0017,March,summer_shoulder,75,-7,0,12,low,Indicative summer shoulder suitability for religious site POIs.,high
POI0017,April,summer_shoulder,78,-7,0,0,low,Indicative summer shoulder suitability for religious site POIs.,high
POI0017,May,summer_shoulder,75,11,1,11,low,Indicative summer shoulder suitability for religious site POIs.,high
POI0017,June,monsoon,75,15,-10,-2,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0017,July,monsoon,66,-2,-23,3,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0017,August,monsoon,67,-4,1,7,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0017,September,monsoon,62,4,0,-1,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0017,October,post_monsoon,66,-3,-17,-3,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0017,November,peak_winter,86,0,-7,0,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0017,December,peak_winter,91,-9,1,8,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0018,January,peak_winter,90,0,-12,0,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0018,February,peak_winter,93,-3,-3,5,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0018,March,summer_shoulder,68,6,-12,10,low,Indicative summer shoulder suitability for nightlife POIs.,high
POI0018,April,summer_shoulder,75,5,-11,11,low,Indicative summer shoulder suitability for nightlife POIs.,high
POI0018,May,summer_shoulder,68,-11,-1,6,low,Indicative summer shoulder suitability for nightlife POIs.,high
POI0018,June,monsoon,63,-1,-5,0,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0018,July,monsoon,84,0,-3,7,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0018,August,monsoon,77,-9,-12,-12,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0018,September,monsoon,77,-9,-3,7,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0018,October,post_monsoon,73,4,-9,4,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0018,November,peak_winter,85,13,7,7,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0018,December,peak_winter,85,-8,5,3,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0019,January,peak_winter,93,-5,-1,6,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0019,February,peak_winter,79,1,3,0,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0019,March,summer_shoulder,77,12,14,8,low,Indicative summer shoulder suitability for shopping POIs.,high
POI0019,April,summer_shoulder,84,-10,-11,9,low,Indicative summer shoulder suitability for shopping POIs.,high
POI0019,May,summer_shoulder,66,-9,-5,6,low,Indicative summer shoulder suitability for shopping POIs.,high
POI0019,June,monsoon,62,6,-7,-7,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0019,July,monsoon,79,8,-5,8,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0019,August,monsoon,61,-3,-11,13,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0019,September,monsoon,70,3,7,-3,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0019,October,post_monsoon,69,-4,1,0,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0019,November,peak_winter,84,-1,-7,5,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0019,December,peak_winter,79,1,7,8,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0020,January,peak_winter,84,2,-1,0,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0020,February,peak_winter,83,2,-2,18,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0020,March,summer_shoulder,77,5,-1,4,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0020,April,summer_shoulder,70,-10,-6,5,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0020,May,summer_shoulder,62,3,2,0,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0020,June,monsoon,47,-5,6,11,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0020,July,monsoon,30,0,-5,5,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0020,August,monsoon,25,3,15,6,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0020,September,monsoon,43,-13,-8,14,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0020,October,post_monsoon,76,3,-25,10,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0020,November,peak_winter,96,-15,12,-17,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0020,December,peak_winter,85,7,0,-13,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0021,January,peak_winter,97,9,2,9,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0021,February,peak_winter,88,-3,-14,10,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0021,March,summer_shoulder,64,9,-20,-7,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0021,April,summer_shoulder,79,-6,-17,5,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0021,May,summer_shoulder,79,-11,1,9,medium,Warmer/humid conditions; outdoor midday activity may be less comfortable (estimated).,high
POI0021,June,monsoon,45,-4,-6,-10,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0021,July,monsoon,47,0,-3,8,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0021,August,monsoon,44,1,-7,7,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0021,September,monsoon,44,0,-2,3,high,"Heavy rain typical; outdoor/coastal activity suitability reduced (estimated, not live weather data).",medium
POI0021,October,post_monsoon,78,-5,4,0,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
