origin_city,destination,mode,departure_window,arrival_window,duration_minutes,estimated_cost_per_person,transfer_count,comfort_score,availability_status_type,source_status
Hyderabad,Goa,flight,afternoon,morning,60,3930,0,90,typically_available,synthetic_indicative
Hyderabad,Goa,flight,early_morning,afternoon,51,4630,0,70,typically_available,synthetic_indicative
Hyderabad,Goa,train,evening,morning,821,950,0,55,limited,synthetic_indicative
Hyderabad,Goa,train,afternoon,night,714,730,0,67,seasonal,synthetic_indicative
Chennai,Goa,flight,afternoon,morning,70,6550,1,81,typically_available,synthetic_indicative
Chennai,Goa,flight,evening,afternoon,73,5920,0,92,typically_available,synthetic_indicative
Chennai,Goa,train,morning,night,983,1050,0,70,typically_available,synthetic_indicative
Chennai,Goa,train,afternoon,morning,934,1030,1,47,typically_available,synthetic_indicative
Chennai,Goa,train,morning,afternoon,1139,1130,0,70,typically_available,synthetic_indicative
Ahmedabad,Goa,flight,morning,night,78,6660,0,88,typically_available,synthetic_indicative
Ahmedabad,Goa,flight,early_morning,evening,82,7680,0,85,typically_available,synthetic_indicative
Ahmedabad,Goa,flight,morning,night,82,8000,0,85,seasonal,synthetic_indicative
Ahmedabad,Goa,train,evening,afternoon,1228,1020,0,53,typically_available,synthetic_indicative
Ahmedabad,Goa,train,morning,early_morning,1259,1140,0,51,typically_available,synthetic_indicative
Ahmedabad,Goa,train,early_morning,morning,1207,1450,0,72,typically_available,synthetic_indicative
Kolkata,Goa,flight,afternoon,evening,173,16250,0,81,typically_available,synthetic_indicative
Kolkata,Goa,flight,afternoon,night,194,13810,0,94,typically_available,synthetic_indicative
Kolkata,Goa,flight,afternoon,evening,171,12490,0,72,seasonal,synthetic_indicative
Kolkata,Goa,train,afternoon,night,2463,2440,0,45,typically_available,synthetic_indicative
Kolkata,Goa,train,evening,evening,2325,2100,0,45,typically_available,synthetic_indicative
Nagpur,Goa,flight,night,night,95,6980,2,94,typically_available,synthetic_indicative
Nagpur,Goa,flight,afternoon,night,91,5710,0,81,typically_available,synthetic_indicative
Nagpur,Goa,flight,night,early_morning,95,6220,0,70,typically_available,synthetic_indicative
Nagpur,Goa,train,afternoon,early_morning,1239,1210,0,70,typically_available,synthetic_indicative
Nagpur,Goa,train,afternoon,afternoon,1257,1360,0,66,typically_available,synthetic_indicative
Nagpur,Goa,train,morning,night,1163,1340,0,58,typically_available,synthetic_indicative
Nagpur,Goa,bus,night,afternoon,1313,930,0,30,seasonal,synthetic_indicative
Nagpur,Goa,bus,afternoon,morning,1328,1000,0,59,typically_available,synthetic_indicative
Jaipur,Goa,flight,afternoon,early_morning,127,11580,1,74,typically_available,synthetic_indicative
Jaipur,Goa,flight,night,early_morning,139,9610,1,77,typically_available,synthetic_indicative
Jaipur,Goa,train,evening,morning,1608,2210,0,48,typically_available,synthetic_indicative
Jaipur,Goa,train,evening,afternoon,1724,1750,0,48,seasonal,synthetic_indicative
Jaipur,Goa,train,morning,early_morning,1630,2090,1,49,typically_available,synthetic_indicative
Kochi,Goa,flight,afternoon,morning,67,5700,0,93,typically_available,synthetic_indicative
Kochi,Goa,flight,evening,night,75,4890,1,91,typically_available,synthetic_indicative
Kochi,Goa,train,afternoon,afternoon,862,970,1,55,typically_available,synthetic_indicative
Kochi,Goa,train,evening,morning,949,1010,0,52,typically_available,synthetic_indicative
Indore,Goa,flight,evening,evening,81,5700,0,79,typically_available,synthetic_indicative
Indore,Goa,flight,evening,night,92,7650,0,72,limited,synthetic_indicative
Indore,Goa,train,morning,evening,1061,1120,0,60,typically_available,synthetic_indicative
Indore,Goa,train,evening,evening,1060,1240,1,65,typically_available,synthetic_indicative
Indore,Goa,bus,night,afternoon,1280,1070,0,38,seasonal,synthetic_indicative
Indore,Goa,bus,early_morning,morning,1258,1000,0,53,typically_available,synthetic_indicative
Indore,Goa,bus,morning,evening,1571,860,1,43,typically_available,synthetic_indicative
